"","Gene_Name","baseMean","log2FoldChange","padj"
"1","ENSG00000289575",729.90843625611,3.69695917876618,8.49474366736086e-180
"2","PNPO",603.940813331155,-4.1579329323074,8.79779293871867e-179
"3","PCDHGA10",495.646817294788,4.47969829548263,2.41860655460701e-111
"4","YPEL3-DT",524.329418278379,-2.42126241070964,1.99461433471507e-87
"5","LINC02506",1299.64499784561,-1.71576129641602,9.49145617654595e-60
"6","ENSG00000289456",383.053364595078,-2.13492456025522,9.59189982196314e-46
"7","ENSG00000286339",905.816429868424,-1.71732158334569,2.76370889990939e-45
"8","ENSG00000282914",120.852923179754,3.75779036646038,1.87896373604988e-42
"9","SVIL-AS1",152.589323541032,2.88119205903575,3.1052797610276e-41
"10","RPS3AP6",3070.56231630053,-1.45511333984089,9.50330144687032e-40
